model,domain_short,n,mean_single,mean_mdt_rag,diff,p,cliffs_delta,effect,p_fdr,sig_fdr
gpt-4o-mini,Dx,17,4.080882352941177,3.9926470588235294,-0.08823529411764719,0.466343770794609,-0.020761245674740483,negligible,0.6555845578425499,False
gpt-4o-mini,Stage,15,3.8916666666666666,3.75,-0.1416666666666666,0.5037523577328481,-0.12,negligible,0.6555845578425499,False
gpt-4o-mini,1L Rx,20,4.04375,4.11875,0.07500000000000018,0.5691834713460704,0.08,negligible,0.6555845578425499,False
gpt-4o-mini,2L/Res,16,3.8984375,4.03125,0.1328125,0.4690210224031789,0.21484375,small,0.6555845578425499,False
gpt-4o-mini,irAE,17,3.5955882352941178,3.713235294117647,0.11764705882352944,0.6774830361422965,0.15570934256055363,small,0.7069388203223964,False
gpt-4o-mini,F/U,15,3.933333333333333,4.133333333333334,0.20000000000000062,0.23859282931643555,0.17777777777777778,small,0.6555845578425499,False
claude-sonnet,Dx,17,4.698529411764706,4.632352941176471,-0.06617647058823461,0.6449552204726476,-0.03460207612456748,negligible,0.7035875132428884,False
claude-sonnet,Stage,15,4.35,4.516666666666667,0.16666666666666696,0.3039134396856935,0.1288888888888889,negligible,0.6555845578425499,False
claude-sonnet,1L Rx,20,4.71875,4.70625,-0.012500000000000178,0.45808823471581006,0.17,small,0.6555845578425499,False
claude-sonnet,2L/Res,16,4.515625,4.53125,0.015625,0.526706246484243,0.25390625,small,0.6555845578425499,False
claude-sonnet,irAE,17,4.389705882352941,4.492647058823529,0.10294117647058787,0.28433410196093944,0.1972318339100346,small,0.6555845578425499,False
claude-sonnet,F/U,15,4.633333333333334,4.691666666666666,0.05833333333333268,0.50275959311918,0.24444444444444444,small,0.6555845578425499,False
deepseek-r1,Dx,17,4.477941176470588,4.720588235294118,0.24264705882352988,0.12302519397317048,0.1522491349480969,small,0.5905209310712183,False
deepseek-r1,Stage,15,4.425,4.675,0.25,0.44086703541808714,0.13777777777777778,negligible,0.6555845578425499,False
deepseek-r1,1L Rx,20,4.76875,4.61875,-0.14999999999999947,0.5014266868873838,-0.085,negligible,0.6555845578425499,False
deepseek-r1,2L/Res,16,4.4453125,4.6328125,0.1875,0.012222679338725983,0.2265625,small,0.29334430412942364,False
deepseek-r1,irAE,17,4.625,4.044117647058823,-0.5808823529411766,0.037778220470460255,-0.5190311418685121,large,0.45333864564552306,False
deepseek-r1,F/U,15,4.658333333333333,4.516666666666667,-0.1416666666666666,0.32940090588803694,-0.23555555555555555,small,0.6555845578425499,False
llama-3.3-70b,Dx,17,3.875,3.838235294117647,-0.03676470588235281,0.23537969756274835,-0.08304498269896193,negligible,0.6555845578425499,False
llama-3.3-70b,Stage,15,3.8833333333333333,3.725,-0.15833333333333321,0.11507237506403227,-0.10666666666666667,negligible,0.5905209310712183,False
llama-3.3-70b,1L Rx,20,4.0875,4.0125,-0.07500000000000018,0.5376092530826725,-0.015,negligible,0.6555845578425499,False
llama-3.3-70b,2L/Res,16,3.46875,3.890625,0.421875,0.11551769461154035,0.32421875,small,0.5905209310712183,False
llama-3.3-70b,irAE,17,3.3529411764705883,3.3823529411764706,0.02941176470588225,0.8966258240654019,0.03460207612456748,negligible,0.8966258240654019,False
llama-3.3-70b,F/U,15,4.05,4.0,-0.04999999999999982,0.5736364881122311,-0.1288888888888889,negligible,0.6555845578425499,False
